Source,Target,Weight
Dilan 1990,Dilan 1990,100
Dilan 1990,Dilan,99
Dilan 1990,Film,47
Dilan 1990,Milea: Suara dari Dilan,8
Dilan 1990,Novel,7
Dilan 1990,Dilan 1991,6
Dilan 1990,Soundtrack,2
Dilan 1990,Hyperlink,2
Dilan 1990,1990,2
Dilan 1990,Iqbaal Ramadhan,1
Dilan 1990,cinema of Indonesia,1
Dilan 1990,Vanesha Prescilla,1
Dilan 1990,Danur,0
Avengers Infinity War,Avengers: Infinity War,100
Avengers Infinity War,The Avengers,98
Avengers Infinity War,Film,39
Avengers Infinity War,The Avengers,14
Avengers Infinity War,Avengers: Endgame,9
Avengers Infinity War,Subtitle,3
Avengers Infinity War,Marvel Cinematic Universe,3
Avengers Infinity War,Thanos,3
Avengers Infinity War,Captain Marvel,2
Avengers Infinity War,Synopsis,2
Avengers Infinity War,Marvel Comics,2
Avengers Infinity War,Black Panther,2
Avengers Infinity War,Avengers: Age of Ultron,2
Avengers Infinity War,Thor,2
Avengers Infinity War,Blu-ray disc,2
Avengers Infinity War,Captain America,1
Avengers Infinity War,Credit,1
Avengers Infinity War,Post-credits scene,1
Avengers Infinity War,Thor: Ragnarok,1
Avengers Infinity War,Marvel Entertainment,1
Avengers Infinity War,Iron Man,1
Avengers Infinity War,Trailer,1
Avengers Infinity War,The Marvels,1
Avengers Infinity War,Spider-Man,1
Fantastic Beast,Fantastic Beasts,100
Fantastic Beast,Fantastic Beasts: The Crimes of Grindelwald,92
Fantastic Beast,Fantastic Beasts and Where to Find Them,79
Fantastic Beast,Fantastic Beasts: The Secrets of Dumbledore,44
Fantastic Beast,Film,29
Fantastic Beast,Harry Potter,8
Fantastic Beast,Synopsis,4
Fantastic Beast,Professor Albus Dumbledore,4
Fantastic Beast,Subtitle,3
Fantastic Beast,Harry Potter,2
Fantastic Beast,J. K. Rowling,2
Fantastic Beast,Subscene,2
Fantastic Beast,Johnny Depp,2
Fantastic Beast,IMDb,2
Fantastic Beast,Gellert Grindelwald,2
Fantastic Beast,Fantasy,2
Fantastic Beast,Actor,2
Fantastic Beast,Newt Scamander,1
Fantastic Beast,Casting,1
Fantastic Beast,Nagini,1
Fantastic Beast,Fantastic Four,1
Fantastic Beast,Fantastic Four,1
Fantastic Beast,Gemma Chan,1
Fantastic Beast,Fantasy,1
Fantastic Beast,Sequel,1
The Nun,The Nun,100
The Nun,Film,51
The Nun,2018,20
The Nun,Synopsis,9
The Nun,Horror,8
The Nun,movie theater,6
The Nun,The Conjuring,6
The Nun,The Conjuring,4
The Nun,Subtitle,4
The Nun,Trailer,4
The Nun,The Conjuring: The Devil Made Me Do It,3
The Nun,Nun,3
The Nun,The Conjuring 2,2
The Nun,Ghost,2
The Nun,Nun,2
The Nun,IMDb,2
The Nun,Annabelle,1
The Nun,Evil Nun : Scary Horror Game,1
The Nun,Nun,1
The Nun,Annabelle,1
The Nun,Taissa Farmiga,1
The Nun,The Bad Nun,1
Black Panther,Black Panther,100
Black Panther,Black Panther,41
Black Panther,Black Panther,10
Black Panther,Black panther,10
Black Panther,Wallpaper,4
Black Panther,Subtitle,4
Black Panther,Actor,4
Black Panther,Black Panther: Wakanda Forever,4
Black Panther,Symbiosis,3
Black Panther,Rabbit,3
Black Panther,Marvel Cinematic Universe,3
Black Panther,Avengers: Infinity War,3
Black Panther,Wakanda,3
Black Panther,The Avengers,3
Black Panther,Chadwick Boseman,3
Black Panther,Casting,2
Black Panther,Marvel Comics,2
Black Panther,Isuzu Panther,2
Black Panther,Shirt,2
Black Panther,Rifle,1
Black Panther,Blu-ray disc,1
Black Panther,Michael B. Jordan,1
Black Panther,IMDb,1
Black Panther,Avengers: Endgame,1
Black Panther,Subscene,1
Venom,Venom,100
Venom,Venom,40
Venom,Venom,24
Venom,Venom: Let There Be Carnage,20
Venom,Venom,17
Venom,KYT,6
Venom,Wallpaper,5
Venom,Spider-Man,5
Venom,Venom,4
Venom,Motorcycle helmet,4
Venom,Eddie Brock,4
Venom,KYT Venom Diamond Ventilation Accessory MC Helmet Black-White,3
Venom,Subwoofer,3
Venom,Eminem,3
Venom,Subtitle,3
Venom,Helmet,3
Venom,Loudspeaker,3
Venom,Audio signal,3
Venom,Skin,2
Venom,Venom,2
Venom,Post-credits scene,2
Venom,Credit,2
Venom,Kyoto,1
Venom,Tom Hardy,1
Venom,Eternals,1
Deadpool 2,Deadpool 2,100
Deadpool 2,Film,39
Deadpool 2,Deadpool,19
Deadpool 2,Subtitle,4
Deadpool 2,Avengers: Infinity War,4
Deadpool 2,Casting,4
Deadpool 2,Soundtrack,4
Deadpool 2,The Avengers,3
Deadpool 2,Post-credits scene,3
Deadpool 2,Credit,3
Deadpool 2,Blu-ray disc,3
Deadpool 2,Deadpool,2
Deadpool 2,Deadpool,2
Deadpool 2,IMDb,2
Deadpool 2,Ant-Man,2
Deadpool 2,Venom,2
Deadpool 2,Deadpool 3,2
Deadpool 2,Marvel Comics,2
Deadpool 2,Ant-Man and the Wasp,2
Deadpool 2,X-Men,2
Deadpool 2,Subscene,2
Deadpool 2,Synopsis,2
Deadpool 2,Cable,2
Deadpool 2,Morena Baccarin,2
Crazy Rich Asian,Crazy Rich Asians,100
Crazy Rich Asian,Film,51
Crazy Rich Asian,Crazy Rich Asians,5
Crazy Rich Asian,Novel,5
Crazy Rich Asian,Casting,4
Crazy Rich Asian,Novel synopsis,4
Crazy Rich Asian,Henry Golding,4
Crazy Rich Asian,Constance Wu,3
Crazy Rich Asian,Subtitle,3
Crazy Rich Asian,Quiz,2
Crazy Rich Asian,Crazy Rich Asians (Original Motion Picture Soundtrack),2
Crazy Rich Asian,IMDb,2
Crazy Rich Asian,BuzzFeed,2
Crazy Rich Asian,Soundtrack,2
Crazy Rich Asian,Character,2
Crazy Rich Asian,Can't Help Falling in Love,2
Crazy Rich Asian,Can't Help Falling in Love,2
Crazy Rich Asian,Gemma Chan,2
A Quiet Place,A Quiet Place,100
A Quiet Place,A Quiet Place Part II,98
A Quiet Place,A Quiet Place,85
A Quiet Place,Film,44
A Quiet Place,Synopsis,8
A Quiet Place,Horror,3
A Quiet Place,Subtitle,2
A Quiet Place,Netflix,2
A Quiet Place,Bird Box,2
A Quiet Place,IMDb,2
A Quiet Place,The Conjuring,2
A Quiet Place,Trailer,1
A Quiet Place,Monster,1
A Quiet Place,The Conjuring: The Devil Made Me Do It,1
A Quiet Place,F9,1
A Quiet Place,Fast & Furious,1
A Quiet Place,Movie theater,1
The Meg,The Meg,100
The Meg,Film,57
The Meg,2018,20
The Meg,Synopsis,5
The Meg,Subtitle,5
The Meg,Megalodon,4
The Meg,IMDb,4
The Meg,Sharks,3
The Meg,Jason Statham,3
The Meg,movie theater,3
The Meg,Trailer,2
The Meg,Subscene,2
The Meg,Li Bingbing,2
The Meg,Casting,2
The Meg,Actor,2
The Meg,The Darkest Minds,1
The Meg,Slender Man,1
The Meg,The Equalizer 2,1
The Meg,The Equalizer,1
The Meg,Blu-ray disc,1
The Meg,The Nun,1
The Meg,Godzilla,1
