Source,Target,Weight
Bucin,Word,100
Bucin,Whipped,98
Bucin,Quotation,31
Bucin,Garena Free Fire,16
Bucin,Sadness,9
Bucin,Photo caption,9
Bucin,Test,9
Bucin,Colloquialism,8
Bucin,Pantun,7
Bucin,Motivation,6
Bucin,Puzzle,4
Ferguso,DJ,100
Ferguso,Meme,75
Ferguso,Marimar,33
Ferguso,Colloquialism,30
Ferguso,Telenovela,23
Ferguso,Tom and Jerry,17
Ferguso,Alex Ferguson,13
Ferguso,Esmeralda,9
Gerd,Gastroesophageal reflux disease,100
Gerd,Disease,21
Gerd,Stomach,19
Gerd,Drug,15
Gerd,Acid,11
Gerd,Gastric acid,10
Gerd,Symptom,8
Gerd,Gastritis,6
Gerd,Pain,6
Gerd,Anxiety,5
Gerd,International Classification of Diseases,4
Gerd,Thorax,4
Gerd,ICD-10,4
Gerd,Anxiety disorder,3
Gerd,Breathing,3
Gerd,Heart,3
Gerd,Throat,3
Gerd,Shortness of breath,2
Gerd,Therapy,2
Gerd,Relapse,2
Gerd,Cough,2
Gerd,Herb,2
Gerd,Chest pain,2
Gerd,Abdomen,2
Gerd,Chronic condition,2
KKN,Student study service,100
KKN,KKN di Desa Penari,34
KKN,Report,8
KKN,Computer program,6
KKN,East Java,6
KKN,Village,6
KKN,College student,5
KKN,Individual,3
KKN,Research proposal,3
KKN,Activity,2
KKN,Gadjah Mada University,2
KKN,Horror,2
KKN,Mysticism,2
KKN,Banyuwangi,1
KKN,Pandemic,1
KKN,Thread,1
KKN,Dancer,1
KKN,Alauddin Islamic State University,1
KKN,Impression,1
KKN,Mystery,1
KKN,Banyuwangi Regency,1
KKN,2019–20 coronavirus pandemic,0
KKN,Universitas Muhammadiyah Sumatera Utara,0
KKN,Nur,0
KKN,Simpleman,0
Unicorn,Unicorn,100
Unicorn,Unicorn,10
Unicorn,Wallpaper,9
Unicorn,Cake,6
Unicorn,Wallpaper,5
Unicorn,Doll,3
Unicorn,Cafe,3
Unicorn,Tumblr,3
Unicorn,Gundam,3
Unicorn,Birthday cake,3
Unicorn,Toy,2
Unicorn,Horse,2
Unicorn,Pink,2
Unicorn,Pony,2
Unicorn,Startup company,2
Unicorn,Mobile Suit Gundam Unicorn,2
Unicorn,Ice cream,2
Unicorn,Squishy,2
Unicorn,Hat,1
Unicorn,My Unicorn Girl,1
Unicorn,Hello Kitty,1
Unicorn,Pajamas,1
Unicorn,Cupcake,1
Unicorn,L.O.L. Surprise!,1
Unicorn,Unicorn cupcakes,0
Japri,Colloquialism,100
Japri,Abbreviation,54
Japri,As-salamu alaykum,13
Mukbang,Mukbang,100
Mukbang,Korean language,11
Mukbang,Seafood,9
Mukbang,ASMR,9
Mukbang,Pungency,7
Mukbang,Eating,7
Mukbang,Bakso,6
Mukbang,Noodle,5
Mukbang,Samyang ramen,4
Mukbang,Korea,3
Mukbang,Colloquialism,3
Mukbang,Ice cream,2
Mukbang,Octopus,2
Mukbang,Abbreviation,2
Mukbang,Rahmawati Kekeyi Putri Cantikka,2
Mukbang,Korean cuisine,2
Mukbang,Tanboy Kun,2
Podcast,Podcast,100
Podcast,Spotify,14
Podcast,Deddy Corbuzier,6
Podcast,Sister,4
Podcast,Google Podcasts,2
Podcast,good,2
Podcast,Anchor,2
Podcast,Microphone,2
Podcast,English podcast,1
Podcast,Studio,1
Podcast,Apple,1
Podcast,Upload and download,1
Podcast,Rintik sedu,1
Podcast,Joe Rogan podcast,1
Podcast,Dinar Candy,0
Podcast,Content,0
Podcast,Web hosting service,0
Podcast,Audio signal,0
Podcast,ProQuest,0
Santuy,DJ,100
Santuy,DJ Santuy,69
Santuy,Quotation,53
Santuy,Leisure,29
Santuy,University,28
Santuy,Remix,27
Santuy,Colloquialism,21
Santuy,Single person,18
Santuy,Trans TV,16
Santuy,Photo caption,15
Halu,Package tracking,57
Halu,Halu,47
Halu,Feby Putri,38
Halu,Chord,10
Halu,Rishi,8
Halu,Gununghalu,7
Halu,Tolong,6
Halu,Celengan Rindu,6
Halu,Halu Oleo University Kendari,6
Halu,Delivery,4
Halu,Colloquialism,3
Halu,Pura Pura Lupa,3
Halu,Cantik,3
Halu,Cantik,2
Halu,Tanya Hati,2
Halu,Lugu,2
Halu,Waktu Yang Salah,2
Halu,Percaya Aku,2
Halu,Ukulele,2
