Source,Target,Weight
Surat Cinta untuk Starla,Surat Cinta Untuk Starla,100
Surat Cinta untuk Starla,Surat Cinta untuk Starla,37
Surat Cinta untuk Starla,Chord,21
Surat Cinta untuk Starla,Guitar,14
Surat Cinta untuk Starla,Guitar chord,12
Surat Cinta untuk Starla,Virgoun,12
Surat Cinta untuk Starla,Surat Cinta untuk Starla the Movie,7
Surat Cinta untuk Starla,Asal Kau Bahagia,4
Surat Cinta untuk Starla,reply,4
Surat Cinta untuk Starla,Bukti,3
Surat Cinta untuk Starla,Answer song,3
Surat Cinta untuk Starla,Last Child,2
Surat Cinta untuk Starla,Musical note,2
Surat Cinta untuk Starla,Chord,2
Surat Cinta untuk Starla,Armada,2
Surat Cinta untuk Starla,Dia,2
Surat Cinta untuk Starla,Anji,2
Surat Cinta untuk Starla,Love letter,1
Surat Cinta untuk Starla,Noah,1
Surat Cinta untuk Starla,Melodica,1
Surat Cinta untuk Starla,Akad,1
Surat Cinta untuk Starla,Hanin Dhiya,1
Surat Cinta untuk Starla,Ukulele,0
Surat Cinta untuk Starla,Cinta Luar Biasa,0
Surat Cinta untuk Starla,Kekasih Bayangan,0
Pengabdi Setan,Satan's Slave,100
Pengabdi Setan,Film,44
Pengabdi Setan,2017,28
Pengabdi Setan,Synopsis,7
Pengabdi Setan,Horror,5
Pengabdi Setan,Satan's Slave,4
Pengabdi Setan,1980,4
Pengabdi Setan,Actor,2
Pengabdi Setan,Satan,2
Pengabdi Setan,Ghost,2
Pengabdi Setan,cinema of Indonesia,1
Pengabdi Setan,Tara Basro,1
Pengabdi Setan,Dilan,1
Pengabdi Setan,Danur,1
Pengabdi Setan,Casting,1
Pengabdi Setan,Trailer,1
Pengabdi Setan,Danur,1
Pengabdi Setan,Dilan 1990,1
Pengabdi Setan,Joko Anwar,1
Pengabdi Setan,Pangalengan,1
Pengabdi Setan,Kelam Malam,1
Setya Novanto,Setya Novanto,100
Setya Novanto,Meme,13
Setya Novanto,Accident,7
Setya Novanto,Wife,6
Setya Novanto,Lawyer,5
Setya Novanto,Post,4
Setya Novanto,Utility pole,4
Setya Novanto,People's Representative Council of Indonesia,4
Setya Novanto,Corruption,4
Setya Novanto,Religion,3
Setya Novanto,Corruption Eradication Commission,3
Setya Novanto,Speaker of the Indonesian People's Representative Council,3
Setya Novanto,Golkar,2
Setya Novanto,Joko Widodo,2
Setya Novanto,Electronic identity card,2
Setya Novanto,Fredrich Yunadi,2
Setya Novanto,Indonesian identity card,2
Setya Novanto,Anies Baswedan,1
Setya Novanto,Traffic collision,1
Setya Novanto,Ganjar Pranowo,1
Setya Novanto,Otto Hasibuan,1
Setya Novanto,Prison,1
Setya Novanto,Sukamiskin,0
Pilkada DKI,2017 Jakarta gubernatorial election,100
Pilkada DKI,Indonesian Regional Election,100
Pilkada DKI,Jakarta,99
Pilkada DKI,2017,30
Pilkada DKI,Result,30
Pilkada DKI,Survey,8
Pilkada DKI,Debate,7
Pilkada DKI,Basuki Tjahaja Purnama,4
Pilkada DKI,General Elections Commission of Indonesia,4
Pilkada DKI,Turn,3
Pilkada DKI,Calculation,3
Pilkada DKI,Election,2
Pilkada DKI,Count,2
Pilkada DKI,Anies Baswedan,2
Pilkada DKI,Governor,1
Pilkada DKI,Agus Harimurti Yudhoyono,1
Pilkada DKI,Metro TV,1
Pilkada DKI,Rotation,1
Pilkada DKI,April 19,1
Pilkada DKI,Polling place,0
Pilkada DKI,Kompas TV,0
Pilkada DKI,Tv One,0
Pilkada DKI,Research and development,0
Pilkada DKI,Antasari Azhar,0
