Source,Target,Weight
Batu Akik,Agate,100
Batu Akik,Rock,98
Batu Akik,Stone,15
Batu Akik,Ring,6
Batu Akik,Red,6
Batu Akik,Amethyst,4
Batu Akik,Green,4
Batu Akik,Ruby,3
Batu Akik,Blue,3
Batu Akik,Turquoise,2
Batu Akik,Jade,2
Batu Akik,Tiger,2
Batu Akik,Gemstone,2
Batu Akik,Sapphire,2
Batu Akik,Pandan,2
Batu Akik,Borneo,2
Batu Akik,Wine,0
Batu Akik,Spice rub,0
Batu Akik,Idolatry,0
Batu Akik,Siam,0
Batu Akik,Water lily,0
Batu Akik,Amulet,0
Batu Akik,Quraysh,0
Batu Akik,Pomegranate,0
GO-JEK,Gojek,100
GO-JEK,Liga 1,13
GO-JEK,Device driver,9
GO-JEK,Sports league,9
GO-JEK,2021–22 Liga 1,8
GO-JEK,List,6
GO-JEK,Grab,6
GO-JEK,Transport,4
GO-JEK,Motorcycle taxi,2
GO-JEK,Go-Jek,2
Kue Cubit,Kue,100
Kue Cubit,Kue cubit,95
Kue Cubit,Recipe,40
Kue Cubit,Cake,6
Kue Cubit,Pukis cake,3
Kue Cubit,Mixer,3
Kue Cubit,Murtabak,3
Kue Cubit,Dough,3
Kue Cubit,Bandros,3
Kue Cubit,Baking,2
Kue Cubit,Egg,2
Kue Cubit,Steaming,2
Kue Cubit,Snack,2
Kue Cubit,Spoon,2
Kue Cubit,mold,2
Kue Cubit,Flour,2
Kue Cubit,Cookie,2
Kue Cubit,Baking powder,2
Kue Cubit,Doughnut,2
Kue Cubit,Powder,1
Kue Cubit,Spider,1
Kue Cubit,Kue cucur,1
Kue Cubit,Mud cake,1
Kue Cubit,Soft serve,1
Kue Cubit,Pisang cokelat,0
Angeline,Engeline murder case,100
Angeline,Yoriko Angeline,76
Angeline,Murder,21
Angeline,Bali,20
Angeline,Religion,18
Angeline,Case,11
Angeline,Biodata,10
Angeline,For Angeline,9
Angeline,Ari Irham,9
Angeline,Angeline Quinto,9
Angeline,Angelina Jolie,8
Angeline,Chronology,7
Angeline,Cadaver,6
Angeline,Dilan,6
Angeline,Dilan 1990,5
Angeline,Pangako Sa 'Yo,5
Angeline,Angga Yunanda,4
Angeline,Nag-Iisa Lang,4
Angeline,Human rights,4
Angeline,Pangako Sa 'Yo,4
Angeline,Vanesha Prescilla,3
Angeline,Iqbaal Ramadhan,2
Angeline,After Met You,2
Angeline,Milea: Suara dari Dilan,2
Olga Syahputra,Olga Syahputra,100
Olga Syahputra,Death,16
Olga Syahputra,Billy Syahputra,9
Olga Syahputra,Disease,8
Olga Syahputra,Julia Perez,8
Olga Syahputra,Raffi Ahmad,6
Olga Syahputra,Meningitis,4
Olga Syahputra,Brother,4
Olga Syahputra,Ruben Onsu,3
Olga Syahputra,Nike Ardilla,3
Olga Syahputra,Biography,3
Olga Syahputra,Jessica Iskandar,3
Olga Syahputra,Amanda Manopo,2
Olga Syahputra,Pesbukers,2
Olga Syahputra,Funeral,2
Olga Syahputra,Opera Van Java,1
Olga Syahputra,Lymph node,1
Olga Syahputra,Ivan Gunawan,1
Olga Syahputra,Sule,1
Olga Syahputra,Nasi becek,1
Olga Syahputra,Derawan Islands,1
Olga Syahputra,Duren Sawit,1
Olga Syahputra,Nature reserve,1
Olga Syahputra,Yana Zein,1
Dubsmash,Dubsmash,100
Dubsmash,Dubsmash,39
Dubsmash,Clownish,8
Dubsmash,Soundtrack,8
Dubsmash,Ria Ricis,5
Dubsmash,Teejay Marquez,3
Dubsmash,Dedeh Rosidah,3
Dubsmash,Twerk It Like Miley,3
Dubsmash,Star,3
Dubsmash,Police,2
Dubsmash,Yoga,2
Dubsmash,Smule,1
Dubsmash,TeeJay Waterpark,1
Dubsmash,Jessica Mila,1
Dubsmash,Anak Sekolahan,1
Dubsmash,Musical.ly,1
Dubsmash,Verrell Bramasta,1
Dubsmash,Filipino,1
Dubsmash,Actor,1
Dubsmash,Angga Yunanda,1
Fast Furious 7,Furious 7,100
Fast Furious 7,Fast & Furious,100
Fast Furious 7,Film,30
Fast Furious 7,The Fate of the Furious,22
Fast Furious 7,Subtitle,16
Fast Furious 7,The Fast and the Furious,10
Fast Furious 7,Fast & Furious 6,9
Fast Furious 7,Fast & Furious,8
Fast Furious 7,F9,6
Fast Furious 7,Soundtrack,5
Fast Furious 7,Fast Five,4
Fast Furious 7,Actor,4
Fast Furious 7,Paul Walker,4
Fast Furious 7,See You Again,2
Fast Furious 7,The Fast and the Furious: Tokyo Drift,2
Fast Furious 7,Fast & Furious Presents: Hobbs & Shaw,2
Fast Furious 7,2 Fast 2 Furious,1
Fast Furious 7,Vin Diesel,1
Fast Furious 7,Mitsubishi Lancer Evolution,0
Fast Furious 7,Final Fantasy VIII,0
Fast Furious 7,480p,0
Fast Furious 7,Subaru,0
Fast Furious 7,Iko Uwais,0
Fast Furious 7,Good Life,0
Fast Furious 7,Fast & Furious 10,0
Tragedi Mina,Mina,100
