Source,Target,Weight
Paul Walker,Paul Walker,100
Paul Walker,Fast & Furious,21
Paul Walker,Death,19
Paul Walker,Furious 7,8
Paul Walker,Accident,8
Paul Walker,The Fast and the Furious,7
Paul Walker,Vin Diesel,6
Paul Walker,Fast & Furious,6
Paul Walker,The Fate of the Furious,5
Paul Walker,F9,5
Paul Walker,Actor,4
Paul Walker,Brother,4
Paul Walker,Nissan Skyline,3
Paul Walker,Meadow Rain Walker,3
Paul Walker,Traffic collision,3
Paul Walker,Toyota Supra,3
Paul Walker,Alan Walker,2
Paul Walker,Nissan,2
Paul Walker,See You Again,2
Paul Walker,See You Again,2
Paul Walker,Faded,1
Paul Walker,Need for Speed,1
Paul Walker,Leonardo DiCaprio,0
Paul Walker,Cheap Thrills,0
Paul Walker,Fast & Furious Presents: Hobbs & Shaw,0
Padamu Negeri,Bagimu Negeri,100
Padamu Negeri,Musical note,18
Padamu Negeri,Teacher,9
Padamu Negeri,Indonesia Raya,9
Padamu Negeri,Musical tone,8
Padamu Negeri,Songwriter,7
Padamu Negeri,Melodica,6
Padamu Negeri,August,5
Padamu Negeri,Chant,4
Padamu Negeri,August 17,4
Padamu Negeri,Tempo,4
Padamu Negeri,National emblem of Indonesia,4
Padamu Negeri,Scale,4
Padamu Negeri,Bar,3
Padamu Negeri,Moment of silence,3
Padamu Negeri,Singing,3
Padamu Negeri,Syukur,3
Padamu Negeri,Major scale,1
Padamu Negeri,Youth Pledge,1
Padamu Negeri,Work of art,1
Padamu Negeri,Gugur Bunga,1
Padamu Negeri,Folk music,1
BBM for Android,Android,100
BBM for Android,BBM,96
BBM for Android,Android application package,38
BBM for Android,Video game modding,19
BBM for Android,iPhone,11
BBM for Android,See-through clothing,9
BBM for Android,Delta Air Lines,7
BBM for Android,iOS,7
BBM for Android,Android Gingerbread,5
BBM for Android,Google Play,4
BBM for Android,Fuel,4
BBM for Android,Bachelor of Business Management,4
BBM for Android,Mobile app,3
BBM for Android,Offline,3
BBM for Android,Samsung Galaxy,3
BBM for Android,Android KitKat,1
BBM for Android,Microsoft Windows,1
BBM for Android,Emulator,1
CPNS 2013,Civil Servant Candidates,100
CPNS 2013,2013,58
CPNS 2013,2013 curiculum,32
CPNS 2013,Class,28
CPNS 2013,2018,20
CPNS 2013,Academic term,18
CPNS 2013,Indonesian National Civil Service Agency,18
CPNS 2013,Year,16
CPNS 2013,.id,14
CPNS 2013,High school in the United States,8
CPNS 2013,Matter,8
CPNS 2013,Middle school,8
CPNS 2013,Vocational school,8
CPNS 2013,Value,6
CPNS 2013,Teacher,6
CPNS 2013,2016,6
CPNS 2013,Formation,6
CPNS 2013,Natural science,6
CPNS 2013,Accreditation,4
CPNS 2013,2014,4
CPNS 2013,PDF,4
CPNS 2013,Ministry of Religious Affairs,4
CPNS 2013,Syllabus,4
CPNS 2013,Primary school,4
Harlem Shake,Harlem Shake (meme),100
Harlem Shake,Do the Harlem Shake,70
Harlem Shake,Barrel roll,41
Harlem Shake,Rush,37
Harlem Shake,Zerg,36
Harlem Shake,Do A Barrel Roll,35
Harlem Shake,Barrel,11
Harlem Shake,Google Search,9
Harlem Shake,Harlem Shake,8
Harlem Shake,Harlem Shake,7
Harlem Shake,Harlem,4
Harlem Shake,1998,4
Harlem Shake,Thanos,3
Harlem Shake,Google Gravity,1
Harlem Shake,TOYOTA RUSH,1
Eyang Subur,Eyang Subur,100
Eyang Subur,Arya Wiguna,30
Eyang Subur,Wife,14
Eyang Subur,Case,9
Eyang Subur,Adi Bing Slamet,7
Eyang Subur,Septian Dwi Cahyo,3
Eyang Subur,Boro language,1
Eyang Subur,Problem,1
Eyang Subur,Dukun,1
Eyang Subur,Conflict,1
Eyang Subur,Death,1
Line,LINE,100
Line,KRL Commuterline,6
Line,Commuter rail,6
Line,Sticker,5
Line,Line,4
Line,Online chat,4
Line,Coin,3
Line,Webtoon,3
Line,Group,2
Line,Line art,2
Line,Internet bot,1
Line,Office automation,1
Line,LINE TV,1
Line,Line of credit,1
Line,Line Without a Hook,1
Line,Dancing Line,1
Line,Line Friends,0
Line,1997,0
X Factor Indonesia,X Factor Indonesia,100
X Factor Indonesia,Indonesian Idol,16
X Factor Indonesia,The X Factor (UK) Interactive,14
X Factor Indonesia,Champion,13
X Factor Indonesia,Jury,11
X Factor Indonesia,Audition,11
X Factor Indonesia,2017,9
X Factor Indonesia,2015,9
X Factor Indonesia,Rising Star Indonesia,7
X Factor Indonesia,Fatin Shidqia,6
X Factor Indonesia,Volcano,6
X Factor Indonesia,July,5
X Factor Indonesia,X Factor Indonesia (season 1),5
X Factor Indonesia,2013,5
X Factor Indonesia,The Voice Indonesia,5
X Factor Indonesia,The X Factor (UK) - Season 14,4
X Factor Indonesia,Sumatra,4
X Factor Indonesia,Island,4
X Factor Indonesia,West Java,3
X Factor Indonesia,Pharmacy,3
X Factor Indonesia,Pharmaceutical company,3
X Factor Indonesia,Sumbawa,3
X Factor Indonesia,Boxing,3
X Factor Indonesia,Hero,3
Tegar,Tegar Septian,100
Tegar,Tegar,46
Tegar,Rossa,35
Tegar,Mengharapkanmu,27
Tegar,Tegar,25
Tegar,Rigid body,21
Tegar,Guitar,21
Tegar,Guitar chord,18
Tegar,Chemical equilibrium,7
Tegar,Chord,7
Tegar,Father,7
Tegar,Rotation,5
Tegar,Dynamics,4
Tegar,Bila Benar Sayang,4
Tegar,Moment,4
Tegar,Street artist,3
Tegar,Bukti,1
Tegar,Celengan Rindu,1
Tegar,Tolong,1
Tegar,Diriliş: Ertuğrul,1
Tegar,Firmware,1
Tegar,Menepi,1
Tegar,Tentang Rindu,1
Tegar,Andmesh Kamaleng,1
Modoo Marble,Modoo Marble,100
Modoo Marble,Personal computer,36
Modoo Marble,Game,27
Modoo Marble,Android application package,17
Modoo Marble,Monopoly,13
Modoo Marble,Netmarble,13
Modoo Marble,Offline,10
Modoo Marble,Video game,7
Modoo Marble,Cheating in video games,7
Modoo Marble,Online game,7
