Source,Target,Weight
Jokowi,Joko Widodo,100
Jokowi,Prabowo Subianto,9
Jokowi,Minister,5
Jokowi,Cabinet,5
Jokowi,President of Indonesia,4
Jokowi,Cabinet of Indonesia,3
Jokowi,Basuki Tjahaja Purnama,2
Jokowi,Ma'ruf Amin,2
Jokowi,"Presidential election in Indonesia, 2019",2
Jokowi,Susilo Bambang Yudhoyono,2
Jokowi,Political party,1
Jokowi,Campaigns,1
Jokowi,2024,1
Jokowi,Promise,1
Jokowi,Sandiaga Uno,1
Jokowi,Muhammad Rizieq Shihab,1
Jokowi,Prabowo Subianto 2019 presidential campaign,1
Jokowi,Period,1
Jokowi,grandchild,1
Jokowi,Agus Harimurti Yudhoyono,0
Jokowi,Era,0
Jokowi,Hoax,0
Jokowi,Period 2 element,0
Jokowi,Donald Trump,0
Jokowi,Gelora Bung Karno Main Stadium,0
Prabowo,Prabowo Subianto,100
Prabowo,Joko Widodo,17
Prabowo,Prabowo Subianto 2019 presidential campaign,8
Prabowo,"Presidential election in Indonesia, 2019",4
Prabowo,Sandiaga Uno,3
Prabowo,President of Indonesia,3
Prabowo,Political party,3
Prabowo,Edhy Prabowo,3
Prabowo,Presidential nominee,2
Prabowo,Susilo Bambang Yudhoyono,2
Prabowo,General Elections Commission of Indonesia,2
Prabowo,Campaigns,2
Prabowo,Minister,1
Prabowo,Election,1
Prabowo,Survey,1
Prabowo,Ma'ruf Amin,1
Prabowo,Muhammad Rizieq Shihab,1
Prabowo,Abdul Somad,1
Prabowo,National Land Agency,1
Prabowo,Boyolali,1
Prabowo,Agus Harimurti Yudhoyono,1
Prabowo,Defence minister,0
Prabowo,nephew,0
Prabowo,Ministry of Marine Affairs and Fisheries,0
CPNS 2014,Civil Servant Candidates,100
CPNS 2014,2014,80
CPNS 2014,2017,19
CPNS 2014,Year,17
CPNS 2014,Ministry of Law and Human Rights,15
CPNS 2014,Paint,8
CPNS 2014,PDF,7
CPNS 2014,2015,6
CPNS 2014,Cat,6
CPNS 2014,Legislation,5
CPNS 2014,List,5
CPNS 2014,Formation,5
CPNS 2014,Indonesian National Civil Service Agency,5
CPNS 2014,Government employees,5
CPNS 2014,Graduation ceremony,4
CPNS 2014,Test,4
CPNS 2014,Accreditation,4
CPNS 2014,Computer file,3
CPNS 2014,Experience,3
CPNS 2014,Value,3
CPNS 2014,Court,3
CPNS 2014,Ministry of Finance of Republic of Indonesia,3
CPNS 2014,State Civil Apparatus,3
ISIS,Islamic State of Iraq and the Levant,100
ISIS,War,6
ISIS,Terrorism,4
ISIS,Syria,4
ISIS,Cruelty,3
ISIS,Iraq,3
ISIS,military,3
ISIS,War,3
ISIS,Flag,3
ISIS,Philippines,3
ISIS,United States,2
ISIS,Israel,2
