Source,Target,Weight
Toyota Agya,TOYOTA AGYA,100
Toyota Agya,Toyota,97
Toyota Agya,Price,43
Toyota Agya,Car,36
Toyota Agya,Toyota,28
Toyota Agya,Toyota Astra Motor,25
Toyota Agya,Honda,17
Toyota Agya,Daihatsu Ayla,15
Toyota Agya,Honda Brio,13
Toyota Agya,Daihatsu Sigra,11
Toyota Agya,Daihatsu,10
Toyota Agya,Toyota Racing Development,9
Toyota Agya,Credit,9
Toyota Agya,TOYOTA CALYA,7
Toyota Agya,Used car,7
Toyota Agya,Suzuki,7
Toyota Agya,Daihatsu,7
Toyota Agya,Toyota Avanza,7
Toyota Agya,Toyota Yaris,6
Toyota Agya,TOYOTA AGYA,5
Toyota Agya,Suzuki,5
Toyota Agya,2016,4
Toyota Agya,Honda Motor Company,4
Honda Brio,Honda Brio,100
Honda Brio,Honda,99
Honda Brio,Price,35
Honda Brio,Car,26
Honda Brio,Honda Motor Company,10
Honda Brio,Honda Fit,8
Honda Brio,Toyota,6
Honda Brio,Credit,5
Honda Brio,TOYOTA AGYA,4
Honda Brio,HONDA BRIO RS,3
Honda Brio,Suzuki,3
Honda Brio,Honda Mobilio,3
Honda Brio,Used car,3
Honda Brio,Toyota Avanza,3
Honda Brio,latest,3
Honda Brio,Daihatsu Ayla,3
Honda Brio,Toyota Yaris,3
Honda Brio,Manual transmission,3
Honda Brio,2015,2
Honda Brio,Toyota,2
Honda Brio,Toyota Astra Motor,2
Honda Brio,Continuously Variable Transmission,2
Honda Brio,HONDA BRIO Satya E CVT,2
Honda Brio,Suzuki,2
Suzuki Ertiga,Suzuki Ertiga,100
Suzuki Ertiga,Suzuki,100
Suzuki Ertiga,Suzuki,78
Suzuki Ertiga,Price,34
Suzuki Ertiga,Car,27
Suzuki Ertiga,Honda,9
Suzuki Ertiga,Toyota,8
Suzuki Ertiga,latest,7
Suzuki Ertiga,Toyota Avanza,6
Suzuki Ertiga,Diesel fuel,5
Suzuki Ertiga,Honda Mobilio,5
Suzuki Ertiga,Used car,4
Suzuki Ertiga,2013,4
Suzuki Ertiga,2016,4
Suzuki Ertiga,2015,3
Suzuki Ertiga,2014,3
Suzuki Ertiga,SUZUKI ERTIGA GX,3
Suzuki Ertiga,Toyota,3
Suzuki Ertiga,Credit,3
Suzuki Ertiga,Lexus GX,3
Suzuki Ertiga,Specification,3
Suzuki Ertiga,2012,3
Mobil Esemka,Car,100
Mobil Esemka,Esemka,94
Mobil Esemka,Garuda Indonesia,8
Mobil Esemka,Joko Widodo,4
Mobil Esemka,Buatan,3
Mobil Esemka,Factory,3
Mobil Esemka,Pickup truck,2
Mobil Esemka,Geely,2
Mobil Esemka,Exhaust gas,2
Mobil Esemka,Toyota Astra Motor,2
Mobil Esemka,Ma'ruf Amin,1
Mobil Esemka,Boyolali Regency,1
Mobil Esemka,Boyolali,1
Mobil Esemka,Car dealership,1
Mobil Esemka,Mayor of Surakarta,0
Mobil Esemka,Susilo Bambang Yudhoyono,0
Mobil Esemka,Toyota Fortuner,0
Nissan Evalia,Nissan NV200,100
Nissan Evalia,Nissan,99
Nissan Evalia,Car,25
Nissan Evalia,Nissan,14
