Source,Target,Weight
Dilan 1990,2018 film,100
Dilan 1990,Film series,99
Dilan 1990,Topic,47
Dilan 1990,2020 film,8
Dilan 1990,Topic,7
Dilan 1990,2019 film,6
Dilan 1990,Film company role or service,2
Dilan 1990,Topic,2
Dilan 1990,Topic,2
Dilan 1990,Indonesian actor,1
Dilan 1990,Topic,1
Dilan 1990,Actress,1
Dilan 1990,Film series,0
Avengers Infinity War,2018 film,100
Avengers Infinity War,Film series,98
Avengers Infinity War,Topic,39
Avengers Infinity War,2012 film,14
Avengers Infinity War,2019 film,9
Avengers Infinity War,Topic,3
Avengers Infinity War,Fictional universe,3
Avengers Infinity War,Comic book character,3
Avengers Infinity War,Film,2
Avengers Infinity War,Topic,2
Avengers Infinity War,Publishing company,2
Avengers Infinity War,Film,2
Avengers Infinity War,2015 film,2
Avengers Infinity War,Film series,2
Avengers Infinity War,Film format,2
Avengers Infinity War,Marvel Cinematic Universe,1
Avengers Infinity War,Topic,1
Avengers Infinity War,Topic,1
Avengers Infinity War,2017 film,1
Avengers Infinity War,Entertainment company,1
Avengers Infinity War,Comic book character,1
Avengers Infinity War,Promotion,1
Avengers Infinity War,2023 film,1
Avengers Infinity War,Comic book character,1
Fantastic Beast,Film series,100
Fantastic Beast,2018 film,92
Fantastic Beast,Film,79
Fantastic Beast,2022 film,44
Fantastic Beast,Topic,29
Fantastic Beast,Novel series,8
Fantastic Beast,Topic,4
Fantastic Beast,Harry Potter character,4
Fantastic Beast,Topic,3
Fantastic Beast,Film series,2
Fantastic Beast,British author,2
Fantastic Beast,Song,2
Fantastic Beast,American actor,2
Fantastic Beast,Topic,2
Fantastic Beast,Harry Potter character,2
Fantastic Beast,Film genre,2
Fantastic Beast,Occupation,2
Fantastic Beast,Harry Potter character,1
Fantastic Beast,Performing arts,1
Fantastic Beast,Harry Potter character,1
Fantastic Beast,Film series,1
Fantastic Beast,2015 film,1
Fantastic Beast,Actress,1
Fantastic Beast,Film genre,1
Fantastic Beast,Topic,1
The Nun,2018 film,100
The Nun,Topic,51
The Nun,Topic,20
The Nun,Topic,9
The Nun,Film genre,8
The Nun,Building function,6
The Nun,Film series,6
The Nun,2013 film,4
The Nun,Topic,4
The Nun,Promotion,4
The Nun,2021 film,3
The Nun,Vocation,3
The Nun,2016 film,2
The Nun,Topic,2
The Nun,Topic,2
The Nun,Topic,2
The Nun,Film series,1
The Nun,Video game,1
The Nun,Film,1
The Nun,Film,1
The Nun,American actress,1
The Nun,2018 film,1
Black Panther,Film,100
Black Panther,Film series,41
Black Panther,Character,10
Black Panther,Animal,10
Black Panther,Computing,4
Black Panther,Topic,4
Black Panther,Occupation,4
Black Panther,2022 film,4
Black Panther,Topic,3
Black Panther,Animal,3
Black Panther,Fictional universe,3
Black Panther,2018 film,3
Black Panther,Topic,3
Black Panther,Film series,3
Black Panther,American actor,3
Black Panther,Performing arts,2
Black Panther,Publishing company,2
Black Panther,Car model,2
Black Panther,Garment,2
Black Panther,Sports tool,1
Black Panther,Film format,1
Black Panther,American actor,1
Black Panther,Topic,1
Black Panther,2019 film,1
Black Panther,Song,1
Venom,2018 film,100
Venom,Film series,40
Venom,Topic,24
Venom,2021 film,20
Venom,Character,17
Venom,Topic,6
Venom,Computing,5
Venom,Comic book character,5
Venom,Song by Eminem,4
Venom,Topic,4
Venom,Fictional character,4
Venom,Topic,3
Venom,Topic,3
Venom,American rapper,3
Venom,Topic,3
Venom,Sports gear,3
Venom,Topic,3
Venom,Topic,3
Venom,Computing,2
Venom,Song by Eminem and Luis Resto,2
Venom,Topic,2
Venom,Topic,2
Venom,City in Japan,1
Venom,Actor,1
Venom,Film,1
Deadpool 2,2018 film,100
Deadpool 2,Topic,39
Deadpool 2,Film,19
Deadpool 2,Topic,4
Deadpool 2,2018 film,4
Deadpool 2,Performing arts,4
Deadpool 2,Film company role or service,4
Deadpool 2,Film series,3
Deadpool 2,Topic,3
Deadpool 2,Topic,3
Deadpool 2,Film format,3
Deadpool 2,Fictional character,2
Deadpool 2,Film series,2
Deadpool 2,Topic,2
Deadpool 2,Film series,2
Deadpool 2,2018 film,2
Deadpool 2,Film,2
Deadpool 2,Publishing company,2
Deadpool 2,2018 film,2
Deadpool 2,Film series,2
Deadpool 2,Song,2
Deadpool 2,Topic,2
Deadpool 2,Character,2
Deadpool 2,Brazilian actress,2
Crazy Rich Asian,Film,100
Crazy Rich Asian,Topic,51
Crazy Rich Asian,Novel by Kevin Kwan,5
Crazy Rich Asian,Topic,5
Crazy Rich Asian,Performing arts,4
Crazy Rich Asian,Topic,4
Crazy Rich Asian,Actor,4
