Source,Target,Weight
Paul Walker,American actor,100
Paul Walker,Film series,21
Paul Walker,Topic,19
Paul Walker,2015 film,8
Paul Walker,Disaster type,8
Paul Walker,2001 film,7
Paul Walker,American actor,6
Paul Walker,2009 film,6
Paul Walker,2017 film,5
Paul Walker,Film,5
Paul Walker,Occupation,4
Paul Walker,Topic,4
Paul Walker,Car model,3
Paul Walker,American model,3
Paul Walker,Disaster type,3
Paul Walker,Sports car,3
Paul Walker,Norwegian DJ,2
Paul Walker,Automobile make,2
Paul Walker,Song by Wiz Khalifa,2
Paul Walker,Song,2
Paul Walker,Song by Alan Walker,1
Paul Walker,Video game series,1
Paul Walker,American actor,0
Paul Walker,Song by Sia,0
Paul Walker,2019 film,0
Padamu Negeri,Topic,100
Padamu Negeri,Topic,18
Padamu Negeri,Profession,9
Padamu Negeri,National anthem,9
Padamu Negeri,Topic,8
Padamu Negeri,Topic,7
Padamu Negeri,Musical instrument,6
Padamu Negeri,Month,5
Padamu Negeri,Topic,4
Padamu Negeri,Date,4
Padamu Negeri,Topic,4
Padamu Negeri,Emblem,4
Padamu Negeri,Music,4
Padamu Negeri,Music,3
Padamu Negeri,Topic,3
Padamu Negeri,Musical style,3
Padamu Negeri,Song by Husein Mutahar,3
Padamu Negeri,Topic,1
Padamu Negeri,Topic,1
Padamu Negeri,Topic,1
Padamu Negeri,Song by Ismail Marzuki,1
Padamu Negeri,Musical genre,1
BBM for Android,Operating system,100
BBM for Android,Software,96
BBM for Android,File format,38
BBM for Android,Topic,19
BBM for Android,Mobile phone,11
BBM for Android,Garment,9
BBM for Android,Airline,7
BBM for Android,Operating system,7
BBM for Android,Operating system,5
BBM for Android,Topic,4
BBM for Android,Topic,4
BBM for Android,Degree,4
BBM for Android,Mobile game device,3
BBM for Android,Topic,3
BBM for Android,Mobile phone,3
BBM for Android,Operating system,1
BBM for Android,Operating system,1
BBM for Android,Topic,1
CPNS 2013,Topic,100
CPNS 2013,Topic,58
CPNS 2013,Topic,32
CPNS 2013,Topic,28
CPNS 2013,Topic,20
CPNS 2013,Topic,18
CPNS 2013,Topic,18
CPNS 2013,Topic,16
CPNS 2013,Top-level domain,14
CPNS 2013,School category,8
CPNS 2013,Topic,8
CPNS 2013,School category,8
CPNS 2013,Topic,8
CPNS 2013,Ethics,6
CPNS 2013,Profession,6
CPNS 2013,Topic,6
CPNS 2013,Association football,6
CPNS 2013,Topic,6
CPNS 2013,Topic,4
CPNS 2013,Topic,4
CPNS 2013,File format,4
CPNS 2013,Topic,4
CPNS 2013,Topic,4
CPNS 2013,School category,4
Harlem Shake,Meme,100
Harlem Shake,Musical artist,70
Harlem Shake,Topic,41
Harlem Shake,Video games,37
Harlem Shake,Topic,36
Harlem Shake,Song by Better Halves,35
Harlem Shake,Topic,11
Harlem Shake,Website,9
Harlem Shake,"Song by Baauer, Héctor el Father, and Jayson Musson",8
Harlem Shake,Song by Baauer,7
Harlem Shake,"Neighborhood in New York City, New York",4
Harlem Shake,Topic,4
Harlem Shake,Comic book character,3
Harlem Shake,Website,1
Harlem Shake,Topic,1
Eyang Subur,Indonesian businessperson,100
Eyang Subur,Musical artist,30
Eyang Subur,Topic,14
Eyang Subur,Topic,9
Eyang Subur,Actor,7
Eyang Subur,Indonesian actor,3
Eyang Subur,India,1
Eyang Subur,Topic,1
Eyang Subur,Topic,1
Eyang Subur,Topic,1
Eyang Subur,Topic,1
Line,Downloadable software,100
Line,Mass transportation system,6
Line,Transportation mode,6
Line,Topic,5
Line,Geometry,4
Line,Topic,4
Line,Topic,3
Line,Publisher,3
Line,Mathematics,2
Line,Visual art genre,2
Line,Topic,1
Line,Topic,1
Line,Television network,1
Line,Topic,1
Line,Song by Ricky Montgomery,1
Line,Video game,1
Line,Topic,0
Line,Topic,0
X Factor Indonesia,Indonesian reality show,100
X Factor Indonesia,Reality show,16
X Factor Indonesia,British television programme,14
X Factor Indonesia,Topic,13
X Factor Indonesia,Topic,11
X Factor Indonesia,Topic,11
X Factor Indonesia,Topic,9
X Factor Indonesia,Topic,9
X Factor Indonesia,TV program,7
X Factor Indonesia,Indonesian singer,6
X Factor Indonesia,Topic,6
X Factor Indonesia,Month,5
X Factor Indonesia,Season 1,5
X Factor Indonesia,Topic,5
X Factor Indonesia,Television programme,5
X Factor Indonesia,Competition,4
X Factor Indonesia,Island in Indonesia,4
X Factor Indonesia,Geographical feature category,4
X Factor Indonesia,Province of Indonesia,3
X Factor Indonesia,Topic,3
X Factor Indonesia,Topic,3
X Factor Indonesia,Island in Indonesia,3
X Factor Indonesia,Sports,3
X Factor Indonesia,Topic,3
Tegar,Indonesian singer,100
Tegar,Song by Rossa,46
Tegar,Singer,35
Tegar,Song by Tegar Septian,27
Tegar,Album by Rossa,25
Tegar,Topic,21
Tegar,Musical instrument,21
Tegar,Chord,18
Tegar,Topic,7
Tegar,Topic,7
Tegar,Topic,7
Tegar,Topic,5
Tegar,Mechanics,4
Tegar,Song by D'Bagindas,4
Tegar,Physics,4
Tegar,Topic,3
Tegar,Song by Virgoun,1
Tegar,Song by Fiersa Besari,1
Tegar,Song by Budi Doremi,1
Tegar,Television series,1
Tegar,Software class,1
Tegar,Song by Ngatmombilung,1
Tegar,Song by Virzha,1
Tegar,Singer,1
Modoo Marble,Video game,100
Modoo Marble,Topic,36
Modoo Marble,Topic,27
Modoo Marble,File format,17
Modoo Marble,Board game,13
Modoo Marble,Mobile game company,13
Modoo Marble,Topic,10
Modoo Marble,TV type,7
Modoo Marble,Topic,7
Modoo Marble,Topic,7
