Source,Target,Weight
Surat Cinta untuk Starla,Song by Virgoun,100
Surat Cinta untuk Starla,Album by Virgoun,37
Surat Cinta untuk Starla,Music,21
Surat Cinta untuk Starla,Musical instrument,14
Surat Cinta untuk Starla,Chord,12
Surat Cinta untuk Starla,Singer,12
Surat Cinta untuk Starla,2017 film,7
Surat Cinta untuk Starla,Song by Armada,4
Surat Cinta untuk Starla,Topic,4
Surat Cinta untuk Starla,Song by Virgoun,3
Surat Cinta untuk Starla,Topic,3
Surat Cinta untuk Starla,Band,2
Surat Cinta untuk Starla,Topic,2
Surat Cinta untuk Starla,Topic,2
Surat Cinta untuk Starla,Band,2
Surat Cinta untuk Starla,Song by Anji,2
Surat Cinta untuk Starla,Singer,2
Surat Cinta untuk Starla,Topic,1
Surat Cinta untuk Starla,Band,1
Surat Cinta untuk Starla,Musical instrument,1
Surat Cinta untuk Starla,Song by Payung Teduh,1
Surat Cinta untuk Starla,Indonesian singer,1
Surat Cinta untuk Starla,Musical instrument,0
Surat Cinta untuk Starla,Song by Andmesh Kamaleng,0
Surat Cinta untuk Starla,Song by Cakra Khan,0
Pengabdi Setan,2017 film,100
Pengabdi Setan,Topic,44
Pengabdi Setan,Topic,28
Pengabdi Setan,Topic,7
Pengabdi Setan,Film genre,5
Pengabdi Setan,1980 film,4
Pengabdi Setan,Topic,4
Pengabdi Setan,Occupation,2
Pengabdi Setan,God,2
Pengabdi Setan,Topic,2
Pengabdi Setan,Topic,1
Pengabdi Setan,Indonesian actress,1
Pengabdi Setan,Film series,1
Pengabdi Setan,Film series,1
Pengabdi Setan,Performing arts,1
Pengabdi Setan,Promotion,1
Pengabdi Setan,2017 film,1
Pengabdi Setan,2018 film,1
Pengabdi Setan,Indonesian film director,1
Pengabdi Setan,Topic,1
Pengabdi Setan,Song by The Spouse,1
Setya Novanto,Indonesian Politician,100
Setya Novanto,Topic,13
Setya Novanto,Disaster type,7
Setya Novanto,Topic,6
Setya Novanto,Occupation,5
Setya Novanto,Structural,4
Setya Novanto,Topic,4
Setya Novanto,Topic,4
Setya Novanto,Topic,4
Setya Novanto,Topic,3
Setya Novanto,Topic,3
Setya Novanto,Topic,3
Setya Novanto,Political party,2
Setya Novanto,President of Indonesia,2
Setya Novanto,Topic,2
Setya Novanto,Lawyer,2
Setya Novanto,Topic,2
Setya Novanto,Governor of Jakarta,1
Setya Novanto,Disaster type,1
Setya Novanto,Governor of Central Java,1
Setya Novanto,Topic,1
Setya Novanto,Building use,1
Setya Novanto,Topic,0
Pilkada DKI,Topic,100
Pilkada DKI,Holiday,100
Pilkada DKI,Capital of Indonesia,99
Pilkada DKI,Topic,30
Pilkada DKI,Topic,30
Pilkada DKI,Human research,8
Pilkada DKI,Topic,7
Pilkada DKI,Former Governor of Jakarta,4
Pilkada DKI,Government agency,4
Pilkada DKI,Angle,3
Pilkada DKI,Topic,3
Pilkada DKI,Topic,2
Pilkada DKI,Noble rank,2
Pilkada DKI,Governor of Jakarta,2
Pilkada DKI,Board member title,1
Pilkada DKI,Topic,1
Pilkada DKI,Indonesian TV network,1
Pilkada DKI,Topic,1
Pilkada DKI,Date,1
Pilkada DKI,Building use,0
Pilkada DKI,Television network,0
Pilkada DKI,Topic,0
Pilkada DKI,Topic,0
Pilkada DKI,Topic,0
SEA Games,Topic,100
SEA Games,Region in Asia,40
SEA Games,Topic,37
SEA Games,Multi-sport event,36
SEA Games,Sports,25
SEA Games,Multi-sport event,24
SEA Games,Topic,24
SEA Games,Topic,17
SEA Games,Topic,16
SEA Games,Tournament,13
SEA Games,Football team,12
SEA Games,Sports event,8
SEA Games,Competition,7
SEA Games,Topic,4
SEA Games,Tournament,4
SEA Games,Sports,4
SEA Games,Sports,4
SEA Games,Country in Asia,3
SEA Games,Country in Asia,3
SEA Games,Football team,3
SEA Games,Topic,3
SEA Games,Topic,3
SEA Games,Topic,2
SEA Games,Football team,1
SEA Games,Event,1
Jokowi Mantu,President of Indonesia,100
Jokowi Mantu,Topic,68
Jokowi Mantu,Joko Widodo's daughter,15
Jokowi Mantu,Mayor of Medan,9
Jokowi Mantu,Topic,4
Jokowi Mantu,Topic,4
Jokowi Mantu,Gibran Rakabuming Raka's wife,4
Jokowi Mantu,City in Indonesia,3
Jokowi Mantu,Mayor of Surakarta,3
Jokowi Mantu,Topic,3
Jokowi Mantu,Topic,3
Jokowi Mantu,Holiday,2
Jokowi Mantu,Topic,1
Jokowi Mantu,Topic,1
Ayam Geprek,Topic,100
Ayam Geprek,Topic,31
Ayam Geprek,Topic,19
Ayam Geprek,Birds,18
Ayam Geprek,Poultry,11
Ayam Geprek,Fast-food restaurant,10
Ayam Geprek,Seasoning,7
Ayam Geprek,Food,5
Ayam Geprek,Topic,4
Ayam Geprek,Topic,3
Ayam Geprek,Topic,3
Ayam Geprek,Topic,3
Ayam Geprek,Topic,2
Ayam Geprek,Indonesian dish,2
Ayam Geprek,Chicken,2
Ayam Geprek,Plant,2
Ayam Geprek,Indonesian dish,1
Ayam Geprek,Food,1
Ayam Geprek,Dairy product,1
Ayam Geprek,Topic,1
Ayam Geprek,Dish,1
Ayam Geprek,Indonesian actor,1
Raja Salman,Topic,100
Raja Salman,Country in the Middle East,12
Raja Salman,Topic,6
Raja Salman,Royal title,6
Raja Salman,Topic,5
Raja Salman,Monarchical,5
Raja Salman,Topic,5
Raja Salman,Former Governor of Jakarta,4
Raja Salman,Topic,3
Raja Salman,Topic,3
Raja Salman,President of Indonesia,3
Raja Salman,Indonesian Islamic scholar,2
Raja Salman,Religion,2
Raja Salman,Noble rank,2
Raja Salman,Topic,2
Raja Salman,Topic,2
Raja Salman,Topic,1
Raja Salman,Topic,1
Raja Salman,Topic,1
Raja Salman,Topic,1
Raja Salman,Former King of Saudi Arabia,1
Sidang Ahok,Former Governor of Jakarta,100
Sidang Ahok,Unit of time,40
Sidang Ahok,Broadcast genre,9
Sidang Ahok,Topic,7
Sidang Ahok,Topic,4
Sidang Ahok,Indonesian Islamic scholar,3
Sidang Ahok,Court,3
Sidang Ahok,Topic,3
Sidang Ahok,Month,3
Sidang Ahok,Month,3
Sidang Ahok,Portal,3
Sidang Ahok,Topic,2
Sidang Ahok,Topic,2
Sidang Ahok,Holiday,1
Sidang Ahok,Religious organization,1
Sidang Ahok,Month,1
Sidang Ahok,Topic,1
Sidang Ahok,Month,1
Sidang Ahok,Vice President of Indonesia,1
Sidang Ahok,Indonesian TV network,1
Sidang Ahok,Building use,1
Sidang Ahok,Professional field,1
Sidang Ahok,President of Indonesia,1
Sidang Ahok,Indonesian musician,1
Sidang Ahok,Prosecutor,1
Om Telolet Om,Topic,100
Om Telolet Om,Song by Fitri Melinda,77
Om Telolet Om,Topic,31
Om Telolet Om,Indonesian singer,11
Om Telolet Om,American DJ,7
Om Telolet Om,Topic,4
Om Telolet Om,Topic,4
Om Telolet Om,Topic,3
Om Telolet Om,DJ,3
Om Telolet Om,Norwegian DJ,2
Om Telolet Om,Confectionery,2
