Source,Target,Weight
Jokowi,President of Indonesia,100
Jokowi,Defense Minister of Indonesia,9
Jokowi,Government,5
Jokowi,Government,5
Jokowi,Topic,4
Jokowi,Topic,3
Jokowi,Former Governor of Jakarta,2
Jokowi,Vice President of Indonesia,2
Jokowi,Topic,2
Jokowi,Former President of Indonesia,2
Jokowi,Organization type,1
Jokowi,Topic,1
Jokowi,Topic,1
Jokowi,Topic,1
Jokowi,Minister of Tourism and Creative Economy of the Republic of Indonesia,1
Jokowi,Indonesian Islamic scholar,1
Jokowi,Topic,1
Jokowi,Periodic table,1
Jokowi,Topic,1
Jokowi,Topic,0
Jokowi,Topic,0
Jokowi,Topic,0
Jokowi,Chemical series,0
Jokowi,45th U.S. President,0
Jokowi,"Stadium in Central Jakarta, Indonesia",0
Prabowo,Defense Minister of Indonesia,100
Prabowo,President of Indonesia,17
Prabowo,Topic,8
Prabowo,Topic,4
Prabowo,Minister of Tourism and Creative Economy of the Republic of Indonesia,3
Prabowo,Topic,3
Prabowo,Organization type,3
Prabowo,Former Minister of Maritime Affairs and Fisheries of Indonesia,3
Prabowo,Topic,2
Prabowo,Former President of Indonesia,2
Prabowo,Government agency,2
Prabowo,Topic,2
Prabowo,Government,1
Prabowo,Topic,1
Prabowo,Human research,1
Prabowo,Vice President of Indonesia,1
Prabowo,Indonesian Islamic scholar,1
Prabowo,Indonesian author,1
Prabowo,Government agency,1
Prabowo,Topic,1
Prabowo,Topic,1
Prabowo,Topic,0
Prabowo,Topic,0
Prabowo,Government ministry,0
CPNS 2014,Topic,100
CPNS 2014,Topic,80
CPNS 2014,Topic,19
CPNS 2014,Topic,17
CPNS 2014,Ministry,15
CPNS 2014,Topic,8
CPNS 2014,File format,7
CPNS 2014,Topic,6
CPNS 2014,Animal,6
CPNS 2014,Topic,5
CPNS 2014,Topic,5
CPNS 2014,Association football,5
CPNS 2014,Topic,5
CPNS 2014,Topic,5
CPNS 2014,Topic,4
CPNS 2014,Assessment,4
CPNS 2014,Topic,4
CPNS 2014,Topic,3
CPNS 2014,Topic,3
CPNS 2014,Ethics,3
CPNS 2014,Topic,3
CPNS 2014,Ministry,3
CPNS 2014,Topic,3
ISIS,Topic,100
ISIS,Topic,6
ISIS,Type of criminal organization,4
ISIS,Country in the Middle East,4
ISIS,Topic,3
ISIS,Country in the Middle East,3
ISIS,Topic,3
ISIS,Film genre,3
ISIS,Official symbol variety,3
ISIS,Country in Asia,3
ISIS,Country in North America,2
ISIS,Country in the Middle East,2
ISIS,Topic,2
ISIS,Topic,2
ISIS,"City in Mindanao, Philippines",2
ISIS,Topic,2
ISIS,Topic,1
ISIS,Religious organization,1
ISIS,People,1
ISIS,Topic,1
ISIS,Indonesian Islamic scholar,1
ISIS,Religion,1
ISIS,Topic,1
ISIS,Topic,0
Sakitnya Tuh Disini,Song by Cita Citata,100
Sakitnya Tuh Disini,Indonesian singer,23
Sakitnya Tuh Disini,Song by Cita Citata,7
Sakitnya Tuh Disini,Ethnic group,5
Sakitnya Tuh Disini,Musical genre,4
Sakitnya Tuh Disini,Topic,4
Sakitnya Tuh Disini,Song by Cita Citata,3
Sakitnya Tuh Disini,Topic,3
Sakitnya Tuh Disini,Musical genre,3
Sakitnya Tuh Disini,Topic,3
Sakitnya Tuh Disini,Song by Ayu Ting Ting,2
Sakitnya Tuh Disini,Song by Cita Citata,2
Sakitnya Tuh Disini,Musical instrument,2
Sakitnya Tuh Disini,Sports,2
Sakitnya Tuh Disini,Singer,1
Sakitnya Tuh Disini,Topic,1
Sakitnya Tuh Disini,National anthem,1
Sakitnya Tuh Disini,Song by Anji,0
Sakitnya Tuh Disini,Actor,0
Sakitnya Tuh Disini,Song by YUKA and Yuka Tamada,0
Sakitnya Tuh Disini,Song by Virgoun,0
Sakitnya Tuh Disini,Topic,0
Sakitnya Tuh Disini,Song by Armada,0
Sakitnya Tuh Disini,Song by Nella Kharisma,0
Nagita Slavina,Indonesian actress,100
Nagita Slavina,Indonesian media personality,16
Nagita Slavina,Indonesian singer,6
Nagita Slavina,Song by Nagita Slavina,3
Nagita Slavina,Topic,2
Nagita Slavina,Topic,2
Nagita Slavina,Topic,1
Nagita Slavina,United States land surveying,1
Nagita Slavina,Discipline,1
Nagita Slavina,Indonesian model,1
Nagita Slavina,Album by Marsha Vadhanapanich and Marsha Zulkarnain,0
Nagita Slavina,Topic,0
Nagita Slavina,Indonesian YouTuber,0
Nagita Slavina,Topic,0
Nagita Slavina,Topic,0
Nagita Slavina,Topic,0
Nagita Slavina,Luxury goods company,0
MH 370,Flight incident,100
MH 370,Airline,47
MH 370,Topic,40
MH 370,Transportation mode,31
MH 370,Country in Asia,12
MH 370,Literary genre,6
MH 370,Aircraft crash,3
MH 370,Topic,3
Pilpres 2014,Topic,100
Pilpres 2014,Topic,100
Pilpres 2014,Topic,27
Pilpres 2014,Topic,24
Pilpres 2014,Topic,20
Pilpres 2014,Defense Minister of Indonesia,16
Pilpres 2014,Topic,13
Pilpres 2014,President of Indonesia,12
Pilpres 2014,Topic,11
Pilpres 2014,Topic,8
Pilpres 2014,General election,8
Pilpres 2014,Decision making,7
Pilpres 2014,Topic,7
Pilpres 2014,Topic,6
Pilpres 2014,Human research,5
Pilpres 2014,Topic,5
Pilpres 2014,Topic,5
Pilpres 2014,Topic,5
Pilpres 2014,Topic,5
Pilpres 2014,Holiday,4
Pilpres 2014,Topic,4
Pilpres 2014,Organization type,4
Pilpres 2014,Government agency,4
Pilpres 2014,Topic,3
Pilpres 2014,Topic,3
Kabinet Jokowi,President of Indonesia,100
Kabinet Jokowi,Government,97
Kabinet Jokowi,Topic,65
Kabinet Jokowi,Government,42
Kabinet Jokowi,Topic,30
Kabinet Jokowi,2014–2019,11
Kabinet Jokowi,Vice President of Indonesia,8
Kabinet Jokowi,Topic,7
Kabinet Jokowi,Topic,6
Kabinet Jokowi,Topic,3
Kabinet Jokowi,Topic,3
Kabinet Jokowi,Defense Minister of Indonesia,3
Kabinet Jokowi,Topic,2
Kabinet Jokowi,Government department,2
Kabinet Jokowi,Former Vice President of Indonesia,2
Kabinet Jokowi,Former Minister of Education and Culture of Indonesia,2
Kabinet Jokowi,Government title,1
Kabinet Jokowi,Former President of Indonesia,1
Kabinet Jokowi,Former President of Indonesia,1
Kabinet Jokowi,Organization type,1
Kabinet Jokowi,Former Governor of Jakarta,1
Kabinet Jokowi,Topic,1
Kabinet Jokowi,Former Minister of Religious Affairs of Indonesia,1
Kabinet Jokowi,Minister of Home Affairs of Indonesia,1
Kabinet Jokowi,Former Minister of Tourism and Creative Economy of the Republic of Indonesia,1
Ebola,Disease,100
Ebola,Infectious agent,62
Ebola,Topic,21
Ebola,Disease,15
Ebola,Virus,13
Ebola,Epidemic,8
Ebola,Illness,7
Ebola,Topic,7
Ebola,Virus,6
Ebola,Disease,6
Ebola,Topic,5
Ebola,Topic,5
Ebola,Disease,5
Ebola,Continent,4
Ebola,Virus,3
Ebola,Disease,3
Ebola,Illness,3
Ebola,Syndrome,2
Ebola,Disease,2
Ebola,Disease,2
Ebola,Topic,2
Ebola,Topic,2
Ebola,Topic,2
Ebola,Topic,2
Ebola,Topic,1
