Source,Target,Weight
Honda Brio,Car model,100
Honda Brio,Automobile make,99
Honda Brio,Topic,35
Honda Brio,Transportation mode,26
Honda Brio,Multinational conglomerate company,10
Honda Brio,Subcompact car,8
Honda Brio,Automobile make,6
Honda Brio,Topic,5
Honda Brio,Topic,4
Honda Brio,Topic,3
Honda Brio,Automobile make,3
Honda Brio,Car model,3
Honda Brio,Topic,3
Honda Brio,Car model,3
Honda Brio,Topic,3
Honda Brio,Car model,3
Honda Brio,Subcompact,3
Honda Brio,Transmission classification,3
Honda Brio,Topic,2
Honda Brio,Automotive manufacturer,2
Honda Brio,Company,2
Honda Brio,Transmission,2
Honda Brio,Topic,2
Honda Brio,Automobile company,2
Suzuki Ertiga,Car model,100
Suzuki Ertiga,Automobile make,100
Suzuki Ertiga,Automobile company,78
Suzuki Ertiga,Topic,34
Suzuki Ertiga,Transportation mode,27
Suzuki Ertiga,Automobile make,9
Suzuki Ertiga,Automobile make,8
Suzuki Ertiga,Topic,7
Suzuki Ertiga,Car model,6
Suzuki Ertiga,Fuel,5
Suzuki Ertiga,Car model,5
Suzuki Ertiga,Topic,4
Suzuki Ertiga,Topic,4
Suzuki Ertiga,Topic,4
Suzuki Ertiga,Topic,3
Suzuki Ertiga,Topic,3
Suzuki Ertiga,Topic,3
Suzuki Ertiga,Automotive manufacturer,3
Suzuki Ertiga,Topic,3
Suzuki Ertiga,Suvs,3
Suzuki Ertiga,Technical standard,3
Suzuki Ertiga,Topic,3
Mobil Esemka,Transportation mode,100
Mobil Esemka,Topic,94
Mobil Esemka,International airline,8
Mobil Esemka,President of Indonesia,4
Mobil Esemka,Topic,3
Mobil Esemka,Building use,3
Mobil Esemka,Topic,2
Mobil Esemka,Automotive company,2
Mobil Esemka,Topic,2
Mobil Esemka,Company,2
Mobil Esemka,Vice President of Indonesia,1
Mobil Esemka,Indonesian regency,1
Mobil Esemka,Topic,1
Mobil Esemka,Topic,1
Mobil Esemka,Topic,0
Mobil Esemka,Former President of Indonesia,0
Mobil Esemka,Topic,0
Nissan Evalia,Van,100
Nissan Evalia,Automobile make,99
Nissan Evalia,Transportation mode,25
Nissan Evalia,Automobile manufacturer,14
