Source,Target,Weight
Ghosting,Topic,100
Ghosting,Topic,33
Ghosting,Topic,30
Ghosting,Topic,4
Ghosting,Topic,4
Ghosting,Topic,2
Ghosting,Topic,1
Ghosting,Topic,1
Ghosting,Topic,1
Ghosting,Boy band,1
Ghosting,Comedy,1
Gabut,Topic,29
Gabut,Topic,27
Gabut,Topic,22
Gabut,Topic,6
Gabut,2020 film,3
Gabut,American singer,2
Gabut,Topic,2
Gabut,Topic,1
Gabut,Television channel,1
Gabut,Fictional character,1
Gabut,Shawn Mendes song,1
Gabut,Song by Shawn Mendes,1
Gabut,Song by Dawin,1
Gabut,Indonesian DJ,1
Lockdown,Topic,100
Lockdown,Virus,11
Lockdown,Disease,8
Lockdown,Country in Asia,5
Lockdown,Infectious agent,3
Lockdown,"City in Java, Indonesia",1
Lockdown,Topic,1
Lockdown,President of Indonesia,1
Lockdown,Topic,1
Lockdown,Topic,1
Lockdown,Topic,1
Lockdown,Topic,1
Lockdown,City in China,1
Rebahan,Topic,100
Rebahan,Human categorization,83
Rebahan,Geometry,46
Rebahan,Medical condition,38
Rebahan,Topic,30
Resesi,Topic,100
Resesi,Topic,43
Resesi,Topic,18
Resesi,Topic,6
Resesi,Topic,4
Resesi,Topic,4
Resesi,Topic,4
Resesi,Topic,3
Resesi,Country in North America,3
Resesi,Topic,2
Resesi,Topic,2
Resesi,Topic,2
Resesi,Topic,2
Resesi,Topic,2
Resesi,Topic,2
Resesi,Minister of Finance of Indonesia,1
Resesi,Indonesian singer,1
Resesi,Topic,1
Resesi,Topic,1
Resesi,Topic,1
Resesi,Topic,1
Resesi,Topic,1
Resesi,Field of study,1
Kuota Belajar,Topic,100
Kuota Belajar,Company,40
Kuota Belajar,Ministry,19
Kuota Belajar,Unit profile,11
Kuota Belajar,Topic,11
Kuota Belajar,Software classification,11
Kuota Belajar,Telecom company,8
Kuota Belajar,Telecommunications,8
Kuota Belajar,Company,6
Kuota Belajar,Company,5
Kuota Belajar,Company,3
Kuota Belajar,Unit of data,3
Kuota Belajar,Topic,2
Kuota Belajar,Protocol of the internet,1
Kuota Belajar,Topic,1
Kuota Belajar,Protocol,1
Kuota Belajar,System software,1
Kuota Belajar,Topic,1
Kuota Belajar,Topic,1
Kuota Belajar,Company,1
Kuota Belajar,Topic,1
Kuota Belajar,Topic,1
Kuota Belajar,Meeting,1
Kuota Belajar,Topic,1
Virus Corona,Virus,100
Virus Corona,Infectious agent,100
Virus Corona,Disease,93
Virus Corona,Topic,6
Virus Corona,Topic,2
Virus Corona,Topic,2
Virus Corona,Topic,1
Virus Corona,Topic,1
Virus Corona,Person,1
Virus Corona,Topic,1
Virus Corona,Topic,1
Virus Corona,City in China,1
PSBB,Topic,100
PSBB,Capital of Indonesia,39
PSBB,Topic,7
PSBB,Virus,6
PSBB,Province of Indonesia,5
PSBB,"City in Java, Indonesia",4
PSBB,"School in Chennai, India",2
PSBB,Topic,2
PSBB,Topic,2
PSBB,"City in Java, Indonesia",1
Among Us,Online game,100
Among Us,Topic,18
Among Us,File format,15
Among Us,Topic,13
Among Us,Topic,9
Among Us,Topic,5
Among Us,Computing,4
Among Us,Video game,2
Among Us,Color,2
Among Us,Topic,1
Among Us,Topic,1
Among Us,Video game series,1
Among Us,Online game,1
Among Us,Aircraft type,1
Among Us,Cap,1
Among Us,Topic,1
Among Us,Syndrome,1
Among Us,Topic,1
