,2013-01-06,2013-01-13,2013-01-20,2013-01-27,2013-02-03,2013-02-10,2013-02-17,2013-02-24,2013-03-03,2013-03-10,2013-03-17,2013-03-24,2013-03-31,2013-04-07,2013-04-14,2013-04-21,2013-04-28,2013-05-05,2013-05-12,2013-05-19,2013-05-26,2013-06-02,2013-06-09,2013-06-16,2013-06-23,2013-06-30,2013-07-07,2013-07-14,2013-07-21,2013-07-28,2013-08-04,2013-08-11,2013-08-18,2013-08-25,2013-09-01,2013-09-08,2013-09-15,2013-09-22,2013-09-29,2013-10-06,2013-10-13,2013-10-20,2013-10-27,2013-11-03,2013-11-10,2013-11-17,2013-11-24,2013-12-01,2013-12-08,2013-12-15,2013-12-22,2013-12-29
Paul Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,4,2,2
Padamu Negeri,1,0,1,1,0,0,0,1,3,0,0,2,2,0,1,1,0,0,1,6,5,6,14,23,31,43,35,69,79,77,22,37,100,97,96,94,72,65,45,31,26,33,25,13,15,16,12,8,10,10,12,10
BBM for Android,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,4,3,5,4,3,8,5,3,3,2,4,5,5,4,3,6,5,68,68,15,11,12,100,41,21,13,13,11,9,8,9,10,9
CPNS 2013,4,3,3,5,4,4,4,5,4,4,5,4,5,5,5,5,5,5,6,5,6,6,7,6,5,5,6,10,15,9,7,16,25,35,100,72,79,47,25,20,13,11,12,9,6,5,5,11,10,10,43,7
Harlem Shake,0,0,0,0,0,3,19,88,100,56,33,32,22,23,17,16,15,12,13,12,10,10,8,5,6,5,3,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
Eyang Subur,0,0,0,0,0,0,0,0,2,1,14,92,79,65,76,98,100,88,51,36,38,28,19,16,15,12,9,9,7,9,8,5,5,4,2,2,1,3,2,2,1,1,1,2,2,1,2,2,2,1,1,0
Line,38,41,34,39,40,40,61,74,64,68,69,73,68,59,63,67,70,84,82,86,83,75,85,88,93,83,100,99,96,95,94,91,84,77,75,73,70,65,70,69,73,72,60,61,60,55,52,49,56,50,52,58
X Factor Indonesia,7,19,52,42,66,71,82,82,81,100,96,98,94,86,72,70,72,60,67,100,59,28,20,15,12,10,9,6,6,6,4,9,10,16,5,5,3,3,2,3,2,1,2,2,2,2,1,2,1,2,1,1
Tegar,7,8,11,15,15,19,38,52,61,72,64,87,100,78,76,79,81,90,68,73,54,53,49,48,51,43,43,34,34,37,38,25,20,21,17,16,16,14,15,15,13,12,18,14,13,14,11,14,10,11,12,11
Modoo Marble,0,1,3,6,10,14,23,41,44,61,53,62,73,77,53,62,71,80,73,85,88,74,100,77,66,68,94,79,39,53,45,48,35,49,34,35,34,31,30,30,46,34,26,22,33,25,17,21,19,20,20,16
