,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27
Ghosting,5,11,2,0,0,2,22,5,7,8,8,9,3,6,7,6,6,12,5,7,13,6,4,5,8,7,10,8,25,5,11,13,5,13,8,15,7,11,21,20,23,23,39,30,35,31,28,53,58,75,99,100
Gabut,51,42,53,35,32,43,38,40,34,42,59,65,90,84,75,73,100,63,59,61,70,73,51,50,63,75,54,56,41,52,45,51,59,46,57,53,51,40,58,51,46,57,60,40,51,39,44,40,35,35,57,44
Lockdown,0,0,0,0,0,0,0,0,0,18,100,98,98,35,23,21,20,15,11,14,8,6,5,5,3,2,3,2,3,2,1,2,1,1,2,5,3,3,3,3,2,1,1,2,1,1,1,2,3,3,3,3
Rebahan,64,45,43,50,49,56,51,49,42,62,66,88,100,76,75,63,75,73,47,43,66,43,40,31,45,35,31,38,37,32,30,40,39,30,31,44,29,31,43,33,40,32,50,31,35,24,34,39,40,60,36,40
WFH,0,0,0,0,0,0,0,1,0,2,67,100,67,46,46,42,33,27,32,23,28,22,17,13,12,10,11,10,8,8,11,8,7,8,10,22,12,10,9,12,10,9,5,5,6,6,7,5,5,10,8,5
Resesi,3,3,3,1,2,2,4,6,5,10,5,11,10,6,10,5,5,5,3,7,7,10,7,5,8,8,3,57,50,40,87,47,21,26,62,27,16,100,37,23,12,7,7,40,18,8,11,5,3,5,3,3
Kuota Belajar,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,5,100,26,31,25,48,62,45,35,38,41,30,23,24,27,28,19,20,23,22
Virus Corona,0,0,23,72,19,15,9,13,39,30,100,98,76,56,44,64,23,17,15,14,13,12,10,8,5,5,6,7,6,5,4,4,3,4,4,4,5,5,4,4,3,2,2,2,2,2,2,3,3,3,3,4
PSBB,0,0,0,0,0,0,0,0,0,0,0,0,3,91,90,100,73,70,63,68,72,73,36,23,15,20,9,14,7,7,4,6,3,5,5,55,47,14,12,15,13,5,5,3,4,3,6,5,5,7,6,6
Among Us,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,60,100,100,75,62,50,59,40,33,30,29,21,21,21,19,17
