,2014-01-05,2014-01-12,2014-01-19,2014-01-26,2014-02-02,2014-02-09,2014-02-16,2014-02-23,2014-03-02,2014-03-09,2014-03-16,2014-03-23,2014-03-30,2014-04-06,2014-04-13,2014-04-20,2014-04-27,2014-05-04,2014-05-11,2014-05-18,2014-05-25,2014-06-01,2014-06-08,2014-06-15,2014-06-22,2014-06-29,2014-07-06,2014-07-13,2014-07-20,2014-07-27,2014-08-03,2014-08-10,2014-08-17,2014-08-24,2014-08-31,2014-09-07,2014-09-14,2014-09-21,2014-09-28,2014-10-05,2014-10-12,2014-10-19,2014-10-26,2014-11-02,2014-11-09,2014-11-16,2014-11-23,2014-11-30,2014-12-07,2014-12-14,2014-12-21,2014-12-28
Jokowi,5,7,7,6,5,4,4,4,4,12,16,11,15,17,16,11,10,14,19,38,36,42,48,45,49,59,87,30,61,27,18,12,17,19,13,12,17,11,10,11,16,69,100,38,23,27,19,14,12,11,9,9
Prabowo,1,1,1,1,1,1,1,2,2,2,5,7,9,14,9,9,8,8,12,53,49,58,70,63,59,72,100,43,75,28,25,19,24,12,7,6,5,4,5,4,6,6,4,3,2,3,2,1,1,1,1,1
CPNS 2014,2,2,2,3,7,7,6,4,5,3,4,3,3,3,3,3,3,5,5,4,6,9,10,9,9,15,13,21,11,9,29,40,100,69,54,39,31,23,19,15,12,11,11,9,9,8,10,8,8,9,7,6
ISIS,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,2,5,4,7,9,7,7,36,100,61,42,31,25,17,22,17,15,14,14,13,12,12,10,10,9,8,7,8,16,16
Sakitnya Tuh Disini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,17,42,85,100,94,76,62,50,40,35,34,27,27,29,21
Nagita Slavina,10,5,8,4,4,3,8,5,5,3,5,5,3,14,13,15,14,7,8,9,6,11,16,15,12,15,14,11,12,10,9,16,9,9,10,10,10,11,9,11,94,100,55,37,26,26,21,18,16,14,18,23
MH 370,0,0,0,0,0,0,0,0,7,37,82,100,54,40,27,12,13,6,4,5,5,3,5,3,2,2,2,11,2,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,7
Pilpres 2014,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,1,1,2,5,5,6,6,5,6,12,100,41,55,6,6,6,13,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kabinet Jokowi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,12,7,8,3,4,7,4,4,20,9,4,5,7,48,100,24,12,9,7,4,4,2,2,1
Ebola,0,0,0,0,1,0,0,0,0,1,0,4,4,1,1,2,2,0,0,0,1,0,1,0,1,2,1,2,0,23,63,75,38,24,21,23,15,12,26,50,55,49,43,100,28,16,11,13,10,5,7,6
