,2015-01-04,2015-01-11,2015-01-18,2015-01-25,2015-02-01,2015-02-08,2015-02-15,2015-02-22,2015-03-01,2015-03-08,2015-03-15,2015-03-22,2015-03-29,2015-04-05,2015-04-12,2015-04-19,2015-04-26,2015-05-03,2015-05-10,2015-05-17,2015-05-24,2015-05-31,2015-06-07,2015-06-14,2015-06-21,2015-06-28,2015-07-05,2015-07-12,2015-07-19,2015-07-26,2015-08-02,2015-08-09,2015-08-16,2015-08-23,2015-08-30,2015-09-06,2015-09-13,2015-09-20,2015-09-27,2015-10-04,2015-10-11,2015-10-18,2015-10-25,2015-11-01,2015-11-08,2015-11-15,2015-11-22,2015-11-29,2015-12-06,2015-12-13,2015-12-20,2015-12-27
Batu Akik,32,37,42,43,56,66,86,99,96,93,100,97,97,90,87,98,97,91,98,92,89,86,78,78,67,61,56,56,62,56,49,42,35,33,29,25,21,18,17,14,12,11,9,8,8,6,6,6,4,6,5,5
GO-JEK,7,0,6,6,0,7,20,13,0,6,0,7,0,6,12,0,13,6,0,6,13,6,39,96,72,52,36,9,16,67,100,98,85,35,27,53,46,7,32,52,58,25,26,50,19,19,25,49,31,7,7,7
Kue Cubit,15,26,45,42,35,55,71,63,68,64,71,74,59,67,65,60,62,79,76,79,71,77,65,100,90,98,66,56,74,85,59,79,67,76,60,62,73,56,50,54,41,71,52,52,62,49,60,45,50,47,39,39
Angeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,82,32,24,16,7,6,5,6,4,3,3,4,2,3,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1
Olga Syahputra,1,1,1,1,1,1,1,1,0,1,1,100,41,13,4,3,2,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dubsmash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,6,12,8,11,29,64,79,93,92,100,89,68,60,54,52,50,39,41,36,39,35,35,29,28,24,18,18,17,14,14,14,16
Fast Furious 7,2,2,1,2,2,2,2,2,2,2,4,8,56,100,61,38,29,21,18,14,12,10,11,10,14,13,9,10,11,8,5,5,4,5,4,4,3,3,3,3,3,3,2,2,2,3,2,2,3,2,3,3
Tragedi Mina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,47,8,3,1,1,1,1,1,0,1,0,1,1,0
Goyang Dumang,100,96,85,75,69,63,61,52,44,42,39,34,28,30,23,23,23,22,21,19,18,18,13,12,10,10,10,11,11,10,8,10,11,10,8,8,6,8,6,6,7,6,5,6,5,5,5,5,4,6,5,6
Piala Presiden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,5,12,66,63,37,45,79,38,100,80,5,3,4,5,5,4,2,4,3,1
