,2019-01-06,2019-01-13,2019-01-20,2019-01-27,2019-02-03,2019-02-10,2019-02-17,2019-02-24,2019-03-03,2019-03-10,2019-03-17,2019-03-24,2019-03-31,2019-04-07,2019-04-14,2019-04-21,2019-04-28,2019-05-05,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16,2019-06-23,2019-06-30,2019-07-07,2019-07-14,2019-07-21,2019-07-28,2019-08-04,2019-08-11,2019-08-18,2019-08-25,2019-09-01,2019-09-08,2019-09-15,2019-09-22,2019-09-29,2019-10-06,2019-10-13,2019-10-20,2019-10-27,2019-11-03,2019-11-10,2019-11-17,2019-11-24,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29
Bucin,9,10,12,16,13,15,10,17,14,14,14,17,15,15,17,30,32,30,26,26,35,30,31,40,29,29,30,28,34,25,28,35,43,46,41,50,43,44,47,47,55,50,50,67,62,63,60,72,74,98,100,84
Ferguso,100,49,56,66,70,53,40,46,37,31,27,19,20,24,22,20,14,28,12,24,21,18,23,15,12,17,19,8,9,11,17,11,16,8,10,4,16,7,12,12,5,5,7,7,9,10,7,11,9,7,8,9
Gerd,61,82,61,54,48,69,55,63,69,78,77,72,62,37,63,49,64,100,92,60,54,53,46,59,58,53,52,74,56,66,51,50,56,54,56,46,40,50,56,64,60,42,72,76,54,69,70,51,45,65,72,67
KKN,1,2,2,3,2,2,3,3,2,2,3,2,2,3,1,2,3,2,3,2,2,1,3,4,5,4,5,5,5,5,4,4,7,86,100,25,11,6,5,4,3,3,3,2,2,2,3,2,2,3,2,3
Unicorn,14,15,17,16,16,15,100,24,18,16,18,14,15,14,16,19,16,14,14,15,16,16,19,17,19,18,19,13,13,16,13,12,12,14,14,14,12,12,14,13,14,13,12,11,10,11,12,9,12,12,12,13
Japri,43,47,86,73,47,70,66,54,91,59,62,100,70,68,52,63,62,72,55,51,58,62,78,67,53,62,79,85,37,72,41,71,57,48,55,23,23,73,59,66,31,53,50,51,61,53,26,34,62,67,92,38
Mukbang,30,36,39,66,54,51,43,52,36,64,64,52,27,23,33,44,37,59,79,65,50,47,45,47,40,40,58,44,49,61,57,78,57,78,44,74,48,67,44,51,100,52,43,49,50,71,71,70,78,52,64,58
Podcast,42,29,52,25,29,34,35,50,36,46,54,35,32,44,36,68,53,73,60,48,37,51,68,72,66,60,72,100,69,75,62,79,62,50,52,86,48,52,74,81,83,87,64,69,94,89,57,84,61,98,80,79
Santuy,1,2,1,1,1,0,1,2,0,1,2,1,0,0,0,1,1,2,1,3,2,5,1,1,1,3,2,7,8,25,23,23,42,100,53,27,32,37,34,27,30,29,28,22,25,15,17,24,29,21,26,22
Halu,7,7,7,9,9,2,5,5,7,6,5,6,5,6,6,9,14,10,6,3,5,9,9,5,7,7,9,7,6,2,6,7,29,34,37,53,54,74,78,83,84,79,89,100,94,82,78,64,80,79,78,76
