,2018-01-07,2018-01-14,2018-01-21,2018-01-28,2018-02-04,2018-02-11,2018-02-18,2018-02-25,2018-03-04,2018-03-11,2018-03-18,2018-03-25,2018-04-01,2018-04-08,2018-04-15,2018-04-22,2018-04-29,2018-05-06,2018-05-13,2018-05-20,2018-05-27,2018-06-03,2018-06-10,2018-06-17,2018-06-24,2018-07-01,2018-07-08,2018-07-15,2018-07-22,2018-07-29,2018-08-05,2018-08-12,2018-08-19,2018-08-26,2018-09-02,2018-09-09,2018-09-16,2018-09-23,2018-09-30,2018-10-07,2018-10-14,2018-10-21,2018-10-28,2018-11-04,2018-11-11,2018-11-18,2018-11-25,2018-12-02,2018-12-09,2018-12-16,2018-12-23,2018-12-30
Dilan 1990,5,10,42,96,69,45,32,31,22,20,46,100,51,43,26,24,21,13,15,13,12,9,10,8,6,7,5,5,6,5,6,6,23,12,8,6,4,4,3,3,4,4,5,6,4,5,4,5,4,5,6,12
Avengers Infinity War,2,1,1,1,2,3,4,4,4,7,9,6,5,8,18,95,100,59,28,23,18,14,14,8,7,8,7,5,6,10,7,6,5,7,5,5,3,5,3,3,2,3,4,3,3,2,3,4,4,5,5,3
Fantastic Beast,1,1,1,1,2,3,0,1,1,6,3,1,1,0,1,1,2,1,0,0,2,1,1,1,1,1,0,1,5,3,1,1,2,1,3,2,2,13,10,8,6,9,6,15,100,83,34,16,7,25,19,11
The Nun,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,4,4,1,1,1,2,2,3,2,2,6,11,99,100,42,22,13,9,8,7,7,8,7,7,5,5,5,5,5,3
Black Panther,2,3,5,17,25,75,100,52,42,29,25,21,11,13,14,28,58,50,32,26,31,19,16,12,7,4,5,7,6,3,3,5,6,4,4,5,3,4,4,3,3,3,3,4,6,4,4,3,5,4,5,6
Venom,2,4,1,2,6,4,3,2,3,3,4,2,3,2,3,13,9,8,5,4,6,4,5,4,4,3,5,3,4,13,9,7,7,6,8,8,10,16,100,94,55,28,20,16,16,15,29,26,20,22,17,15
Deadpool 2,1,0,0,2,2,2,2,2,0,1,7,5,2,5,5,11,15,26,100,77,41,23,21,11,8,9,8,8,16,17,18,22,14,8,8,9,6,4,5,6,4,3,3,4,4,4,5,3,6,4,5,5
Crazy Rich Asian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,2,6,11,9,11,75,100,45,16,15,10,10,7,16,13,13,13,10,17,12,8,7
A Quiet Place,0,0,0,0,0,0,1,1,1,3,3,6,73,100,43,20,10,7,10,16,13,17,12,11,8,10,8,8,7,4,7,3,4,5,3,4,3,4,2,4,7,4,3,1,4,2,3,2,6,5,9,13
The Meg,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,2,3,2,1,1,3,1,1,2,2,4,3,4,4,69,100,57,34,25,15,25,32,15,14,11,7,9,12,11,10,6,6,6,10,10,10
